MeetingDate,Racecourse,RaceNo,Dividend,Dividend,Dividend
,,,Pool,Winning Combination,Dividend (HK$)
2006-12-13,HV,1,WIN,5,41.5
2006-12-13,HV,1,PLACE,5,21.5
2006-12-13,HV,1,PLACE,9,46.0
2006-12-13,HV,1,PLACE,10,80.0
2006-12-13,HV,1,QUINELLA,59,314.0
2006-12-13,HV,1,QUINELLA PLACE,59,114.5
2006-12-13,HV,1,QUINELLA PLACE,510,239.5
2006-12-13,HV,1,QUINELLA PLACE,910,626.5
2006-12-13,HV,1,TIERCE,5910,13732.0
2006-12-13,HV,1,TRIO,5910,3481.0
2006-12-13,HV,1,FIRST 4,591012,14096.0
2006-12-13,HV,2,WIN,1,31.0
2006-12-13,HV,2,PLACE,1,14.0
2006-12-13,HV,2,PLACE,7,18.0
2006-12-13,HV,2,PLACE,11,18.0
2006-12-13,HV,2,QUINELLA,17,100.5
2006-12-13,HV,2,QUINELLA PLACE,17,50.0
2006-12-13,HV,2,QUINELLA PLACE,111,66.5
2006-12-13,HV,2,QUINELLA PLACE,711,76.0
2006-12-13,HV,2,TIERCE,1711,1002.0
2006-12-13,HV,2,TRIO,1711,264.0
2006-12-13,HV,2,FIRST 4,171011,391.0
2006-12-13,HV,2,5TH DOUBLE,5/1,195.5
2006-12-13,HV,2,5TH DOUBLE,5/7,43.0
2006-12-13,HV,3,WIN,1,114.0
2006-12-13,HV,3,PLACE,1,24.0
2006-12-13,HV,3,PLACE,4,13.0
2006-12-13,HV,3,PLACE,12,22.0
2006-12-13,HV,3,QUINELLA,14,133.5
2006-12-13,HV,3,QUINELLA PLACE,14,48.5
2006-12-13,HV,3,QUINELLA PLACE,112,93.0
2006-12-13,HV,3,QUINELLA PLACE,412,45.5
2006-12-13,HV,3,TIERCE,1412,1943.0
2006-12-13,HV,3,TRIO,1412,182.0
2006-12-13,HV,3,FIRST 4,14512,343.0
2006-12-13,HV,3,5TH DOUBLE,1/1,393.0
2006-12-13,HV,3,5TH DOUBLE,1/4,12.0
2006-12-13,HV,4,WIN,3,82.5
2006-12-13,HV,4,PLACE,3,33.0
2006-12-13,HV,4,PLACE,12,62.5
2006-12-13,HV,4,PLACE,1,23.0
2006-12-13,HV,4,QUINELLA,312,939.5
2006-12-13,HV,4,QUINELLA PLACE,312,271.5
2006-12-13,HV,4,QUINELLA PLACE,13,85.5
2006-12-13,HV,4,QUINELLA PLACE,112,206.0
2006-12-13,HV,4,TIERCE,3121,11439.0
2006-12-13,HV,4,TRIO,1312,1596.0
2006-12-13,HV,4,FIRST 4,13912,24667.0
2006-12-13,HV,4,5TH DOUBLE,1/3,950.0
2006-12-13,HV,4,5TH DOUBLE,1/12,518.5
2006-12-13,HV,4,12TH DOUBLE TRIO,"1,4,12/1,3,12",70001.0
2006-12-13,HV,5,WIN,12,22.0
2006-12-13,HV,5,PLACE,12,12.0
2006-12-13,HV,5,PLACE,2,14.5
2006-12-13,HV,5,PLACE,8,16.0
2006-12-13,HV,5,QUINELLA,212,54.0
2006-12-13,HV,5,QUINELLA PLACE,212,23.5
2006-12-13,HV,5,QUINELLA PLACE,812,37.5
2006-12-13,HV,5,QUINELLA PLACE,28,61.5
2006-12-13,HV,5,TIERCE,1228,347.0
2006-12-13,HV,5,TRIO,2812,99.0
2006-12-13,HV,5,FIRST 4,24812,593.0
2006-12-13,HV,5,5TH DOUBLE,"3/1,11,12",109.0
2006-12-13,HV,5,5TH DOUBLE,3/2,78.0
2006-12-13,HV,6,WIN,1,126.0
2006-12-13,HV,6,PLACE,1,44.5
2006-12-13,HV,6,PLACE,8,47.5
2006-12-13,HV,6,PLACE,3,20.5
2006-12-13,HV,6,QUINELLA,18,1188.0
2006-12-13,HV,6,QUINELLA PLACE,18,322.5
2006-12-13,HV,6,QUINELLA PLACE,13,84.0
2006-12-13,HV,6,QUINELLA PLACE,38,125.0
2006-12-13,HV,6,TIERCE,183,10828.0
2006-12-13,HV,6,TRIO,138,1411.0
2006-12-13,HV,6,FIRST 4,1389,3351.0
2006-12-13,HV,6,5TH DOUBLE,"1,11,12/1",273.5
2006-12-13,HV,6,5TH DOUBLE,"1,11,12/8",88.5
2006-12-13,HV,6,TRIPLE TRIO,"1,3,12/8>1,2,11,12/1,3,8",2826613.0
2006-12-13,HV,6,TRIPLE TRIO,"1,3,12/Any Combination/1,3,8",54567.0
2006-12-13,HV,6,TRIPLE TRIO(Consolation),"1,3,12/8>1,2,11,12/Any Combination",3943.0
2006-12-13,HV,6,TRIPLE TRIO(Consolation),"Any Combination/8>1,2,11,12/1,3,8",3390.0
2006-12-13,HV,7,WIN,5,24.0
2006-12-13,HV,7,PLACE,5,14.0
2006-12-13,HV,7,PLACE,3,20.5
2006-12-13,HV,7,PLACE,7,27.0
2006-12-13,HV,7,QUINELLA,35,105.0
2006-12-13,HV,7,QUINELLA PLACE,35,40.5
2006-12-13,HV,7,QUINELLA PLACE,57,60.0
2006-12-13,HV,7,QUINELLA PLACE,37,161.5
2006-12-13,HV,7,TIERCE,537,1058.0
2006-12-13,HV,7,TRIO,357,320.0
2006-12-13,HV,7,FIRST 4,2357,566.0
2006-12-13,HV,7,5TH DOUBLE,1/5,329.0
2006-12-13,HV,7,5TH DOUBLE,1/3,240.5
2006-12-13,HV,7,12TH DOUBLE TRIO,"1,3,8/3,5,7",59048.0
2006-12-13,HV,8,WIN,7,25.0
2006-12-13,HV,8,PLACE,7,13.0
2006-12-13,HV,8,PLACE,12,23.5
2006-12-13,HV,8,PLACE,8,16.0
2006-12-13,HV,8,QUINELLA,712,221.0
2006-12-13,HV,8,QUINELLA PLACE,712,75.5
2006-12-13,HV,8,QUINELLA PLACE,78,29.0
2006-12-13,HV,8,QUINELLA PLACE,812,70.0
2006-12-13,HV,8,TIERCE,7128,840.0
2006-12-13,HV,8,TRIO,7812,180.0
2006-12-13,HV,8,FIRST 4,67812,237.0
2006-12-13,HV,8,5TH DOUBLE,5/7,57.5
2006-12-13,HV,8,5TH DOUBLE,5/12,58.5
2006-12-13,HV,8,SIX UP,"1,4/3,12/1,2,11,12/1,8/3,5/7,12",8755.0
2006-12-13,HV,8,SIX UP,"1/3/1,11,12/1/5/7",231754.0
