MeetingDate,Racecourse,RaceNo,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Finish Time,Win Odds
2006-12-13,HV,1,1,5,FEBURO (CE203),D Nikolic,P O'Sullivan,125,945,1,---,2:18.90,4.1
2006-12-13,HV,1,2,9,FLYING PROFILE (CD168),M Nunes,D Cruz,118,1087,3,1-1/4,2:19.10,15.0
2006-12-13,HV,1,3,10,WISHING WELL (CD368),K L Chui,T K Ng,108,1052,8,3,2:19.30,30.0
2006-12-13,HV,1,4,12,DANEPRINT (CC221),Y T Cheng,C H Yip,112,1070,12,3-3/4,2:19.50,19.0
2006-12-13,HV,1,5,2,BAUHINIA (CD118),O Doleuze,S Woods,128,1056,5,4-1/2,2:19.60,20.0
2006-12-13,HV,1,6,11,SHOW BRAVELY (CB388),B Prebble,Y S Tsui,118,1119,10,4-3/4,2:19.60,13.0
2006-12-13,HV,1,7,3,SPECTACULAR HIT (CC194),E Saint-Martin,L Ho,128,1064,2,4-3/4,2:19.60,6.4
2006-12-13,HV,1,8,6,NEW TAMAR (CE156),D Whyte,C S Shum,124,1120,6,5-1/2,2:19.70,5.3
2006-12-13,HV,1,9,1,NATURAL ECHO (CB326),G Mosse,K L Man,130,1148,7,5-1/2,2:19.70,8.0
2006-12-13,HV,1,10,4,NOBLE BOSS (CD360),F Coetzee,A T Millard,126,1015,4,6,2:19.80,7.0
2006-12-13,HV,1,11,7,FORTUNE GOLD (CD343),A Delpech,J Size,119,1247,9,10,2:20.50,20.0
2006-12-13,HV,1,12,8,LUCKY YEARS (CD331),A Starke,B K Ng,119,1166,11,10-3/4,2:20.60,24.0
2006-12-13,HV,2,1,1,FLAG FINDER (CE224),D Whyte,D E Ferraris,133,1045,9,---,1:10.10,3.1
2006-12-13,HV,2,2,7,BALL OF FIRE (CD020),H K Yim,A Schutz,122,1213,10,3-3/4,1:10.60,5.4
2006-12-13,HV,2,3,11,BEAMING RIVER (CB078),M Nunes,T W Leung,114,1012,3,3-3/4,1:10.70,7.6
2006-12-13,HV,2,4,10,DR HAENSLER (CE003),M Odendaal,A Lee,119,1140,4,4-1/4,1:10.80,11.0
2006-12-13,HV,2,5,9,RAINBOW EXPRESS (CE144),E Saint-Martin,C S Shum,122,1003,8,4-3/4,1:10.90,23.0
2006-12-13,HV,2,6,8,A-TACK (CC343),A Delpech,T K Ng,122,1075,2,5-1/4,1:10.90,7.0
2006-12-13,HV,2,7,5,MAJIN BUU (CC334),O Doleuze,Y S Tsui,128,1109,5,6-1/4,1:11.10,7.6
2006-12-13,HV,2,8,12,WINNING CHAMP (CE233),S K Sit,C H Yip,110,1037,12,6-1/2,1:11.10,52.0
2006-12-13,HV,2,9,3,AMBITIOUS LEADER (CC082),P H Lo,C W Chang,124,1015,7,7-1/4,1:11.20,62.0
2006-12-13,HV,2,10,4,DANCING FAITH (CE297),C K Tong,D Cruz,122,1010,1,10-1/4,1:11.70,63.0
2006-12-13,HV,2,11,2,AMBITION (CC079),G Mosse,K W Lui,131,1077,6,10-3/4,1:11.80,11.0
