horse_id,horse_name,brand_number,country_of_origin,hemisphere_of_origin,horse_age,foaled_date,horse_colour,horse_sex,sire,dam,dam_sire,profile_url,profile_scraped,profile_scraped_at
HK_1998_T033,ONE STEP AHEAD,BT033,IRE,Northern,,,Bay,Gelding,Mukaddamah,Samriah,Wassl Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1998_T033&Option=1,True,2026-09-04T17:45:55Z
HK_1998_T279,MOMENTUM,BT279,AUS,Southern,,,Grey,Gelding,Kenmare,Lady Jakeo,Last Tycoon Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1998_T279&Option=1,True,2026-09-04T15:11:48Z
HK_1999_V096,SMART HORSE,BV096,USA,Northern,,,Bay,Gelding,Sheikh Albadou,Salon Prive,Private Account Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V096&Option=1,True,2026-09-04T16:55:18Z
HK_1999_V102,RARE COLLECTION,BV102,USA,Northern,,,Chestnut,Gelding,Gilded Time,Neforrest,Green Forest Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V102&Option=1,True,2026-09-04T15:46:24Z
HK_1999_V108,TEMMOKU,BV108,IRE,Northern,,,Bay,Gelding,Chief's Crown,Alice En Ballade,Tap On Wood Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V108&Option=1,True,2026-09-04T15:27:37Z
HK_1999_V164,DR MORE,BV164,AUS,Southern,,,Bay,Gelding,Danehill,Chinese Justice,Diesis Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V164&Option=1,True,2026-09-04T16:48:06Z
HK_1999_V168,MILLENNIUM DAWN,BV168,NZ,Southern,,,Brown,Gelding,Fiesta Star,Cam's Belle,Long Row Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V168&Option=1,True,2026-09-04T13:16:04Z
HK_1999_V213,GOOD FRIENDS,BV213,USA,Northern,,,Bay,Gelding,Dynaformer,Blading Saddle,Blade Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V213&Option=1,True,2026-09-04T17:21:48Z
HK_1999_V215,JUST IN TIME,BV215,USA,Northern,,,Brown,Gelding,Chief's Crown,Amyride,Salt Dome Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V215&Option=1,True,2026-09-04T15:25:40Z
HK_1999_V221,MILLENNIUM SPIRIT,BV221,NZ,Southern,,,Bay,Gelding,Defensive Play,Plans Awry,Topsider Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V221&Option=1,True,2026-09-04T16:33:18Z
HK_1999_V228,MILLENNIUM SUPREME,BV228,IRE,Northern,,,Bay,Gelding,Marju,Naiadoora,Ahonoora Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V228&Option=1,True,2026-09-04T13:50:50Z
HK_1999_V275,VICTORY MARBLE,BV275,USA,Northern,,,Chestnut,Gelding,Rahy,Lady O'Lyph,Lyphard Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V275&Option=1,True,2026-09-04T15:11:02Z
HK_1999_V280,MONZA KING,BV280,NZ,Southern,,,Chestnut,Gelding,Kaapstad,Tres Charmante,Zamazaan Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_1999_V280&Option=1,True,2026-09-04T16:39:14Z
HK_2000_A018,DASHING WINNER,CA018,NZ,Southern,,,Chestnut,Gelding,Deputy Governor,Double Liz,Nodouble Same,https://racing.hkjc.com/en-us/local/information/otherhorse?horseid=HK_2000_A018&Option=1,True,2026-09-05T17:13:17Z
