race_date,racecourse_code,racecourse_name,race_number,race_id,race_name,race_time,surface,course,distance_m,going,prize_money_hkd,rating_band,race_class,horse_number,horse_name,brand_number,handicap_weight,jockey,probable_overweight,draw,trainer,international_rating,horse_rating,declared_horse_weight,horse_weight_change,best_time,wfa,days_since_last_run,owner,import_category,horse_age,horse_sex,season_stakes_hkd,total_stakes_hkd,sire,dam,horse_id,runner_id,horse_profile_url,race_url
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,1,LIGHTNESS OF MUSIC,K436,135.0,Z Purton,,2.0,C S Shum,,58.0,1122.0,6.0,0.55.81,-,91.0,Nikki Ng Mien Hua,PPG,5,Gelding,0,878400,Press Statement,Convene,HK_2024_K436,ST_20260906_R02_01,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K436,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,2,RAPID PHANTOM,L204,135.0,H Y Yuen (-10),,5.0,P F Yiu,,58.0,1086.0,21.0,0.55.79,-,77.0,Karson Choi Ka Tsan & Donnie Yen Chi Tan,PPG,4,Gelding,0,859950,Hello Youmzain,Subatomic,HK_2025_L204,ST_20260906_R02_02,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L204,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,3,ONESHOT,L105,134.0,K Teetan,,8.0,W K Mo,,57.0,1162.0,23.0,0.56.71,-,64.0,"Anthony Chan Wai Choi, Wong Tsz Wa & Kwok Ying Lung",PPG,4,Gelding,0,696150,Wrote,Wild Rock,HK_2025_L105,ST_20260906_R02_03,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L105,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,4,RUN RUN SUNRISE,K552,134.0,K C Leung,,10.0,F C Lor,,57.0,1155.0,-2.0,0.56.08,-,64.0,"Tang Ming, James Tang Sau Yip, Tang Fong Ki & Elaine Tang Wai Ling",PPG,4,Gelding,0,1281150,Capitalist,Sister Sledge,HK_2024_K552,ST_20260906_R02_04,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K552,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,5,HEY BROS,L150,130.0,M L Yeung,,3.0,B Crawford,,53.0,974.0,-16.0,,-,60.0,"Mr & Mrs Pang Wai Hak, Pang Ka Yeung and Andy Pang Ka Wai",PP,5,Gelding,0,65100,Brave Smash,Niji,HK_2025_L150,ST_20260906_R02_05,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L150,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,6,LIGHTNESS OF MUSIC,,,,,,,,,,,,,,,,5,Gelding,0,878400,Press Statement,Convene,HK_2024_K436,ST_20260906_R02_06,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K436,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,6,MABUBU,K586,130.0,J Orman,,9.0,W Y So,,53.0,1137.0,15.0,0.57.13,-,64.0,ASAP Syndicate,PPG,5,Gelding,0,725400,Zousain,Furiosa,HK_2024_K586,ST_20260906_R02_06,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K586,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,7,SILVER SPURS,J043,129.0,E C W Wong (-3),,6.0,C Fownes,,52.0,1092.0,-2.0,0.57.51,-,56.0,Andrea Tien & Arthur Cheng,PPG,6,Gelding,0,3013690,Charm Spirit,The Pearler,HK_2023_J043,ST_20260906_R02_07,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J043,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,8,RUBY THRIVE,L098,127.0,P N Wong (-7),,1.0,K L Man,,50.0,1111.0,24.0,0.56.49,-,77.0,"Mr & Mrs Michael Chan Se Ping, Adam Chan Yam Man and Alfred Chan Yam Lung",PPG,4,Gelding,0,134550,Anders,Whisper Delovely,HK_2025_L098,ST_20260906_R02_08,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L098,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
2026-09-06,ST,Sha Tin,2,ST_20260906_R02,DUDDELL HANDICAP,13:00,Turf,A,1000,Good,1170000,,Class 4,9,THUNDER PRINCE,K017,125.0,B Avdulla,,11.0,J Richards,,48.0,1078.0,-5.0,0.56.78,-,60.0,"Wilson Chu Kwok Yiu, Paul M F Cheng, Lionel Lam Kin & Augustine Chu Chun Man",PP,6,Gelding,0,2095050,I Am Invincible,Royal Missile,HK_2024_K017,ST_20260906_R02_09,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K017,https://racing.hkjc.com/en-us/local/information/racecard?racedate=2026/09/06&Racecourse=ST&RaceNo=2
